/Users/coach/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting image coverage audit...
Run date: 2026-02-14 11:23:12
HTTP Request: GET https://rtppvljfrkjtoxmaizea.supabase.co/rest/v1/events?select=id%2Csource_id%2Cimage_url%2Csources%28id%2Cname%29&start_date=gte.2026-02-14 "HTTP/2 200 OK"

================================================================================
IMAGE COVERAGE BY SOURCE (Upcoming Events Only)
================================================================================
Source Name                              |  Total |   With |   Miss |  Cov%
--------------------------------------------------------------------------------
Alcoholics Anonymous - Atlanta           |    745 |      0 |    745 |   0.0%
Callanwolde Fine Arts Center             |    315 |      0 |    315 |   0.0%
Narcotics Anonymous - Georgia            |    246 |      0 |    246 |   0.0%
Marcus Jewish Community Center of Atlan  |    187 |      0 |    187 |   0.0%
Emory Healthcare Community Events        |     58 |      0 |     58 |   0.0%
Cook's Warehouse                         |     51 |      0 |     51 |   0.0%
ATLVets (Advancing The Line)             |     48 |      0 |     48 |   0.0%
Georgia World Congress Center            |     38 |      0 |     38 |   0.0%
Piedmont Healthcare                      |     28 |      2 |     26 |   7.1%
The Warrior Alliance                     |     20 |      0 |     20 |   0.0%
Central Presbyterian Church              |     19 |      0 |     19 |   0.0%
Meetup                                   |     23 |      4 |     19 |  17.4%
Factory at Franklin                      |     26 |     12 |     14 |  46.2%
Tabernacle                               |     30 |     16 |     14 |  53.3%
GriefShare Atlanta                       |     13 |      0 |     13 |   0.0%
DivorceCare Atlanta                      |     12 |      0 |     12 |   0.0%
Zoo Atlanta                              |     18 |      6 |     12 |  33.3%
The Bakery                               |     11 |      0 |     11 |   0.0%
Drepung Loseling Monastery               |     11 |      0 |     11 |   0.0%
Monster Energy AMA Supercross            |     11 |      0 |     11 |   0.0%
Center for Puppetry Arts                 |     34 |     23 |     11 |  67.6%
Emory Events                             |     59 |     48 |     11 |  81.4%
City of Roswell                          |     10 |      0 |     10 |   0.0%
Atlanta Jewish Film Festival             |      9 |      0 |      9 |   0.0%
MudFire Pottery Studio                   |      9 |      0 |      9 |   0.0%
Cathedral of St. Philip                  |     11 |      2 |      9 |  18.2%
Atlanta Recurring Social Events          |     93 |     84 |      9 |  90.3%
Trees Atlanta                            |      8 |      0 |      8 |   0.0%
Concrete Jungle                          |      8 |      0 |      8 |   0.0%
Pittsburgh Yards                         |      7 |      0 |      7 |   0.0%
Piedmont Classes                         |      6 |      0 |      6 |   0.0%
The Battery Atlanta                      |      6 |      0 |      6 |   0.0%
Wild Heaven Beer                         |      6 |      0 |      6 |   0.0%
Fox Theatre                              |      7 |      1 |      6 |  14.3%
FanCons Georgia                          |     11 |      5 |      6 |  45.5%
Fernbank Museum of Natural History       |     25 |     19 |      6 |  76.0%
VETLANTA                                 |      5 |      0 |      5 |   0.0%
National Center for Civil and Human Rig  |      6 |      1 |      5 |  16.7%
City of Kennesaw                         |      6 |      1 |      5 |  16.7%
Southern Center for Human Rights         |      6 |      1 |      5 |  16.7%
Ponce City Market                        |      8 |      3 |      5 |  37.5%
Atlanta Motor Speedway                   |     18 |     13 |      5 |  72.2%
Pigs & Peaches BBQ Festival              |      6 |      2 |      4 |  33.3%
Landmark Midtown Art Cinema              |     14 |     10 |      4 |  71.4%
Freeroll Atlanta                         |     39 |     35 |      4 |  89.7%
LifeLine Animal Project                  |      5 |      2 |      3 |  40.0%
The Supermarket ATL                      |      5 |      2 |      3 |  40.0%
Tara Theatre                             |      6 |      3 |      3 |  50.0%
A Cappella Books                         |     11 |      8 |      3 |  72.7%
Big Peach Running Co                     |     36 |     33 |      3 |  91.7%
Lore Atlanta                             |     43 |     40 |      3 |  93.0%
Georgia State Athletics                  |    120 |    117 |      3 |  97.5%
Gwinnett Stripers                        |      5 |      3 |      2 |  60.0%
Believe Music Hall                       |      6 |      4 |      2 |  66.7%
Coca-Cola Roxy                           |      8 |      6 |      2 |  75.0%
Franklin Theatre                         |     12 |     10 |      2 |  83.3%
Atlanta Film Society                     |     16 |     14 |      2 |  87.5%
Terminal West                            |     17 |     15 |      2 |  88.2%
Big Shanty Festival                      |      5 |      4 |      1 |  80.0%
Cobb Galleria Centre                     |      6 |      5 |      1 |  83.3%
Station Inn                              |      7 |      6 |      1 |  85.7%
Kat's Cafe                               |      8 |      7 |      1 |  87.5%
Friends on Ponce                         |      8 |      7 |      1 |  87.5%
Laughing Skull Lounge                    |      8 |      7 |      1 |  87.5%
Spelman College                          |     10 |      9 |      1 |  90.0%
Mary's                                   |     10 |      9 |      1 |  90.0%
Boot Barn Hall at The Hall               |     11 |     10 |      1 |  90.9%
Variety Playhouse                        |     12 |     11 |      1 |  91.7%
Museum of Design Atlanta                 |     15 |     14 |      1 |  93.3%
Plaza Theatre                            |     23 |     22 |      1 |  95.7%
Eventbrite Nashville                     |     72 |     71 |      1 |  98.6%
NASCAR at Atlanta Motor Speedway         |     18 |     18 |      0 | 100.0%
Ticketmaster                             |    164 |    164 |      0 | 100.0%
The Basement East                        |     24 |     24 |      0 | 100.0%
Stone Mountain Park                      |     74 |     74 |      0 | 100.0%
Dad's Garage                             |     20 |     20 |      0 | 100.0%
Atlanta Cultural Affairs                 |      6 |      6 |      0 | 100.0%
The Earl                                 |     17 |     17 |      0 | 100.0%
Morehouse College                        |      5 |      5 |      0 | 100.0%
The Masquerade                           |     82 |     82 |      0 | 100.0%
Painting With a Twist                    |    243 |    243 |      0 | 100.0%
Schermerhorn Symphony Center             |     42 |     42 |      0 | 100.0%
Atlanta Botanical Garden                 |      8 |      8 |      0 | 100.0%
Eventbrite                               |     42 |     42 |      0 | 100.0%
Toylanta                                 |      9 |      9 |      0 | 100.0%
The Eastern                              |     13 |     13 |      0 | 100.0%
Exit/In                                  |     11 |     11 |      0 | 100.0%
Kennesaw State University                |     14 |     14 |      0 | 100.0%
LOVE Y'ALL Romance Book Festival         |     21 |     21 |      0 | 100.0%
