id,slug,name,is_active,module_exists,reason_code,reason_detail,source_type,integration_method,crawl_frequency,expected_event_count,health_tags,active_months,last_crawled_at,last_crawled_age_days,owner_portal_id,url
794,atlanta-community-food-bank,Atlanta Community Food Bank,False,True,auto_zero_events_deactivated,Source carries health tag zero-events-deactivated (auto-disabled after repeated zero-event success runs).,organization,,daily,15,['zero-events-deactivated'],,2026-02-18T17:31:21.108277+00:00,1,cf53e4b1-7689-42bd-9a50-042a87fb5bbd,https://www.acfb.org/volunteer
523,sister-louisas,Sister Louisa's Church,False,True,auto_zero_events_deactivated,Source carries health tag zero-events-deactivated (auto-disabled after repeated zero-event success runs).,venue,html,daily,11,['zero-events-deactivated'],,2026-02-18T17:33:12.113677+00:00,1,74c2f211-ee11-453d-8386-ac2861705695,https://www.churchbar.net
525,bookhouse-pub,Bookhouse Pub,False,True,blocked_closed_source,Slug is in BLOCKED_SOURCE_SLUGS (permanently closed/blocked in crawler runtime).,venue,html,daily,,[],,2026-02-10T05:13:39.774201+00:00,10,,https://www.bookhousepub.com
115,orpheus-brewing,Orpheus Brewing,False,True,blocked_closed_source,Slug is in BLOCKED_SOURCE_SLUGS (permanently closed/blocked in crawler runtime).,scrape,playwright,daily,,[],,2026-02-10T05:06:50.52365+00:00,,74c2f211-ee11-453d-8386-ac2861705695,https://www.orpheusbrewing.com
536,torched-hop,Torched Hop Brewing,False,True,blocked_closed_source,Slug is in BLOCKED_SOURCE_SLUGS (permanently closed/blocked in crawler runtime).,venue,html,daily,,[],,2026-02-10T05:32:18.252873+00:00,10,,https://torchedhop.com
17,10times,10times Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,website,html,weekly,,[],,2026-02-07T06:05:55.545813+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://10times.com/atlanta-us/tradeshows
169,13-stories,13 Stories Haunted House,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,jsonld_only,daily,,[],,2026-02-07T06:06:01.110458+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.13stories.com
368,404-found-atl,404 Found ATL,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue_website,html,daily,,[],,2026-02-07T07:21:02.249576+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.404foundatl.com/upcoming-events
36,529,529,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,html,daily,,[],,2026-02-08T06:40:45.91885+00:00,,74c2f211-ee11-453d-8386-ac2861705695,https://529atlanta.com/calendar/
150,7-stages,7 Stages,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,html,daily,,[],,2026-02-07T07:21:25.332019+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.7stages.org
156,abv-gallery,ABV Gallery,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,html,twice_weekly,,[],,2026-02-07T06:05:56.955768+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.abvgallery.com
208,academy-ballroom,Academy Ballroom,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-07T06:27:45.537775+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://academyballroomatl.com
183,activate-games,Activate Games Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,llm_crawler,daily,,[],,2026-02-07T06:06:30.525717+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.playactivate.com
266,agnes-scott,Agnes Scott College,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,api,weekly,,[],,2026-02-13T14:14:24.526866+00:00,7,74c2f211-ee11-453d-8386-ac2861705695,https://www.agnesscott.edu/events
76,americasmart,AmericasMart Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,daily,,[],,2026-02-07T06:06:40.875448+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.americasmart.com
458,apache-xlr,Apache Cafe,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,html,daily,,[],,2026-02-07T06:06:43.254421+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://apachexlr.com/
212,arthur-murray-atlanta,Arthur Murray Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-07T06:06:47.039102+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://arthurmurrayatl.com
280,arts-atl,ArtsATL,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,jsonld_only,daily,,[],,2026-02-07T06:06:48.020684+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.artsatl.org
118,asw-distillery,ASW Distillery,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,daily,,[],,2026-02-07T06:06:50.825863+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.aswdistillery.com
234,atl-gaming,ATL Gaming,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,llm_crawler,weekly,,[],,2026-02-07T06:06:56.267674+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlgaming.com
8,atlanta-botanical-garden,Atlanta Botanical Garden,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,llm_crawler,weekly,,[],,2026-02-07T07:55:57.428478+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://atlantabg.org/events
326,atlanta-clay-works,Atlanta Clay Works,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,jsonld_only,daily,,[],,2026-02-07T06:07:00.782311+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlclayworks.org/
229,atlanta-cycling,Atlanta Cycling,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-07T06:07:12.862931+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantacycling.com
211,atlanta-dance-ballroom,Atlanta Dance Ballroom,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,llm_crawler,weekly,,[],,2026-02-07T06:07:15.984914+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://atlantadance.com
388,atlanta-freethought,Atlanta Freethought Society,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,website,html,weekly,,[],,2026-02-09T10:27:31.815435+00:00,11,74c2f211-ee11-453d-8386-ac2861705695,https://atlantafreethought.org/events
154,atlanta-lyric-theatre,Atlanta Lyric Theatre,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,html,twice_weekly,,[],,2026-02-07T06:07:28.674266+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantalyrictheatre.com
397,atlanta-preservation-center,Atlanta Preservation Center,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,website,aggregator,daily,,[],,2026-02-07T06:10:40.553077+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://preserveatl.eventbrite.com
349,atlanta-recurring-social,Atlanta Recurring Social Events,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue_calendar,html,daily,,[],,2026-02-06T05:47:21.857389+00:00,14,74c2f211-ee11-453d-8386-ac2861705695,https://badslava.com/
194,atlutd-pubs,Atlanta United Pub Partners,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,organization,html,daily,,[],,2026-02-10T05:35:20.783166+00:00,10,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlutd.com/fans/pub-partners
209,ballroom-impact,Ballroom Impact,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-07T06:09:03.449738+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.ballroomimpact.com
230,bicycle-tours-atlanta,Bicycle Tours of Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-07T06:10:23.253579+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://biketoursatl.com
372,blue-merle-studios,Blue Merle Studios,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue_website,playwright,daily,,[],,2026-02-07T07:22:15.669998+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.bluemerlestudios.com/classes
279,book-boutique,The Book Boutique,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-10T05:32:29.084226+00:00,10,74c2f211-ee11-453d-8386-ac2861705695,https://www.thebookboutiqueatl.com
409,brake-pad,Brake Pad,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,llm_crawler,daily,,[],,2026-02-10T05:44:20.843389+00:00,10,74c2f211-ee11-453d-8386-ac2861705695,https://www.brakepadatlanta.com/events
167,brewhouse-cafe,Brewhouse Cafe,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,llm_crawler,daily,,[],,2026-02-10T05:29:29.842414+00:00,10,74c2f211-ee11-453d-8386-ac2861705695,https://www.brewhousecafe.com
140,bulldogs-atlanta,Bulldogs Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,playwright,daily,,[],,2026-02-07T06:11:08.571833+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.bulldogsatl.com
454,chastain-arts,Chastain Arts Center,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,playwright,daily,,[],,2026-02-07T06:12:00.124741+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.chastainartscenter.org/events
215,cherry-street-brewing,Cherry Street Brewing,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,scrape,html,weekly,,[],,2026-02-07T06:12:38.456768+00:00,13,74c2f211-ee11-453d-8386-ac2861705695,https://www.cherrystreetbrewing.com
149,church-atlanta,The Church,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,venue,playwright,daily,,[],,2026-02-10T05:30:25.131316+00:00,10,74c2f211-ee11-453d-8386-ac2861705695,https://www.thechurchatl.com
21,city-winery-atlanta,City Winery Atlanta,False,True,manual_or_legacy_inactive,Inactive without a strong automatic signal; likely manual/legacy deactivation.,website,html,daily,14,[],,2026-02-16T05:09:37.698119+00:00,4,74c2f211-ee11-453d-8386-ac2861705695,https://citywinery.com/atlanta
