slug,source_exists,source_type,is_active_before,events_found,events_new,events_updated,duration_seconds,status,error,activated
a-queens-tea-party,True,venue,False,0,0,0,32.03,ok,,False
ark-coffeehaus,True,venue,False,0,0,0,10.36,ok,,False
atlanta-printmakers-studio,True,scrape,True,1,1,0,35.18,ok,,False
atlanta-school-of-photography,True,scrape,False,0,0,0,4.71,ok,,False
bellina-alimentari,True,scrape,False,1,1,0,21.89,ok,,True
besties-alpharetta,True,venue,False,0,0,0,5.49,ok,,False
big-river-bindery,True,scrape,False,2,2,0,15.86,ok,,True
bulloch-hall,True,venue,False,0,0,0,75.02,timeout,profile validation timed out,False
cabbagetown-art-center,True,scrape,False,0,0,0,75.02,timeout,profile validation timed out,False
candlefish-atlanta,True,scrape,False,0,0,0,10.52,ok,,False
challenge-aerial,True,scrape,False,4,4,0,50.52,ok,,True
circus-arts-institute,True,scrape,False,0,0,0,27.55,ok,,False
corrina-sephora-studios,True,scrape,False,0,0,0,2.0,ok,,False
cultured-south,True,scrape,False,0,0,0,15.68,ok,,False
dirty-south-trivia,True,organization_calendar,False,0,0,0,0.82,ok,,False
do404,True,scrape,False,0,0,0,1.56,ok,,False
donaldson-bannister-farm,True,venue,False,1,1,0,46.3,ok,,True
dr-bombays-tea,True,venue,False,0,0,0,24.27,ok,,False
fabricate-studios,True,scrape,False,6,6,0,65.2,ok,,True
fergussons-on-the-square,True,venue,False,0,0,0,34.81,ok,,False
full-circle-studio-atl,True,scrape,False,0,0,0,4.05,ok,,False
geeks-who-drink,True,organization_calendar,False,0,0,0,0.95,ok,,False
georgia-craft-brewers-guild,True,organization,False,0,0,0,1.41,ok,,False
goat-n-hammer,True,scrape,False,1,1,0,20.64,ok,,True
grit-ceramics-studio,True,scrape,False,1,1,0,24.26,ok,,True
hotlanta-glassblowing,True,scrape,False,0,0,0,22.03,ok,,False
indiehouse-modern-fragrances,True,scrape,False,0,0,0,30.94,ok,,False
jessas-tea-parlor,True,venue,False,1,1,0,16.75,ok,,True
just-add-honey-tea,True,venue,False,0,0,0,32.15,ok,,False
le-jardin-francais,True,scrape,False,2,2,0,74.04,ok,,True
limelight-theater,True,venue,False,0,0,0,1.29,ok,,False
lot-23-chandler-co,True,scrape,False,2,2,0,65.43,ok,,True
love-and-make,True,scrape,False,0,0,0,75.02,timeout,profile validation timed out,False
metal-arts-guild-of-georgia,True,scrape,False,0,0,0,75.02,timeout,profile validation timed out,False
molly-sanyour-ceramics,True,scrape,False,0,0,0,20.7,ok,,False
mushroom-club-of-georgia,True,scrape,False,1,1,0,47.43,ok,,True
my-signature-scent,True,scrape,False,0,0,0,75.02,timeout,profile validation timed out,False
outspoken-entertainment,True,organization_calendar,False,0,0,0,75.02,timeout,profile validation timed out,False
path-foundation,True,scrape,False,0,0,0,1.41,ok,,False
planthouse,True,scrape,False,1,1,0,66.82,ok,,True
pottery-with-a-purpose,True,scrape,False,1,1,0,73.65,ok,,True
scott-antique-markets,True,venue,True,3,3,0,64.35,ok,,False
scraplanta,True,scrape,False,0,0,0,20.74,ok,,False
second-state-press,True,scrape,False,0,0,0,75.02,timeout,profile validation timed out,False
shane-mcdonald-studios,True,scrape,False,2,2,0,14.67,ok,,True
southeast-fiber-arts-alliance,True,scrape,False,0,0,0,75.03,timeout,profile validation timed out,False
swan-coach-house,True,venue,False,0,0,0,35.34,ok,,False
team-trivia,True,organization_calendar,False,0,0,0,1.26,ok,,False
the-dirty-tea,True,venue,False,0,0,0,75.01,timeout,profile validation timed out,False
the-ginger-room,True,venue,False,0,0,0,31.48,ok,,False
the-grande-event-tea-room,True,venue,False,0,0,0,75.05,timeout,profile validation timed out,False
the-homestead-atlanta,True,scrape,False,0,0,0,12.04,ok,,False
the-sky-barre,True,scrape,False,2,2,0,73.91,ok,,True
topstitch-studio,True,scrape,False,0,0,0,75.02,timeout,profile validation timed out,False
wais-gong-fu-tea,True,venue,False,0,0,0,32.33,ok,,False
zentea-chamblee,True,venue,False,0,0,0,75.02,timeout,profile validation timed out,False
