camp_name,manual_url,manual_domain,manual_confidence,manual_reason,http_status,content_type,token_hit_count,summer_signal,camp_signal,error,checked_at
Career Camp Atlanta,https://careercampatl.com/,careercampatl.com,high,manual-pass:official-camp-site,200,text/html; charset=UTF-8,1,no,yes,,2026-02-20T05:26:26.435148+00:00
Forefront Arts Theatre Camp,https://www.forefrontarts.com/camp,www.forefrontarts.com,high,manual-pass:official-camp-page,200,text/html; charset=utf-8,1,yes,yes,,2026-02-20T05:26:26.745131+00:00
ITP Training Academy Racquet Camps,https://itpta.com/wp-content/uploads/2026/01/ITP-Training-Academy-Summer-Camp-Guide-2026.pdf,itpta.com,high,manual-pass:official-camp-guide-pdf,,,0,,,HTTP Error 404: Not Found,2026-02-20T05:26:26.878739+00:00
The Walker School Summer Programs,https://www.thewalkerschool.org/walker-summer-camp,www.thewalkerschool.org,high,manual-pass:official-school-camp-page,200,text/html; charset=utf-8,1,yes,yes,,2026-02-20T05:26:31.277174+00:00
Adventure Camp at MHHE,https://www.kennesaw.edu/marb/museum-history-holocaust-education/education/docs/mhhe-summer-camp-flyer2025.pdf,www.kennesaw.edu,medium,manual-pass:ksu-mhhe-camp-flyer,200,application/pdf,1,yes,yes,,2026-02-20T05:26:31.947972+00:00
Fusion Academy Camps,https://www.fusionacademy.com/campuses/buckhead/,www.fusionacademy.com,medium,manual-pass:official-campus-page-with-summer-programs,200,text/html; charset=UTF-8,1,yes,yes,,2026-02-20T05:26:33.310920+00:00
The Howard School Summer Camps,https://www.howardschool.org/learning/summer,www.howardschool.org,high,manual-pass:official-school-camp-page,200,text/html; charset=utf-8,1,yes,yes,,2026-02-20T05:26:34.488628+00:00
Swift School Summer Camps,https://www.theswiftschool.org/programs/summer-programs,www.theswiftschool.org,high,manual-pass:official-school-camp-page,200,text/html; charset=utf-8,1,yes,no,,2026-02-20T05:26:35.820236+00:00
Wealthy Habits Money Smart Camp,https://camps.wealthyhabits.org/atlanta-summer-camps/,camps.wealthyhabits.org,high,manual-pass:official-camp-page,200,text/html; charset=UTF-8,4,yes,yes,,2026-02-20T05:26:38.210995+00:00
Atlanta Dance Theatre,https://www.atlantadancetheatre.org/summer-intensives-copy,www.atlantadancetheatre.org,medium,manual-pass:official-dance-program-page,200,text/html;charset=utf-8,0,yes,yes,,2026-02-20T05:26:38.778467+00:00
Dance 411 Studios,https://www.dance411.com/,www.dance411.com,low,manual-pass:official-home-no-clear-camp-page,200,text/html; charset=UTF-8,1,yes,yes,,2026-02-20T05:26:39.198211+00:00
Atlanta Shakespeare Drama Summer Camps,https://www.shakespearetavern.com/education/summer/,www.shakespearetavern.com,medium,manual-pass:official-atlanta-shakespeare-summer-page,,,0,,,HTTP Error 403: Forbidden,2026-02-20T05:26:39.282037+00:00
Big Blue Marble Academy Camps,https://bbmacademy.com/programs-old/summer-camp/,bbmacademy.com,high,manual-pass:official-camp-page,200,text/html; charset=UTF-8,2,yes,yes,,2026-02-20T05:26:40.789271+00:00
The Haven Academy Summer Camp,https://thehavenacademy.com/summer-2025,thehavenacademy.com,medium,manual-pass:official-summer-page,200,text/html;charset=utf-8,1,yes,yes,,2026-02-20T05:26:41.114990+00:00
St. Benedict’s Episcopal School Summer Camps,https://www.stbs.org/summer-camps,www.stbs.org,high,manual-pass:official-school-camp-page,200,text/html; charset=UTF-8,2,yes,yes,,2026-02-20T05:26:41.521032+00:00
St. Pius X Summer Camps,https://www.spx.org/campus-life/summer,www.spx.org,high,manual-pass:official-school-camp-page,200,text/html; charset=utf-8,1,yes,yes,,2026-02-20T05:26:42.995145+00:00
Sunshine House Next Level Adventure Camp,https://sunshinehouse.com/region/metro-atlanta-region-summer-camp/,sunshinehouse.com,high,manual-pass:official-regional-camp-page,200,text/html; charset=utf-8,5,yes,yes,,2026-02-20T05:26:43.367438+00:00
Tech Wreck Summer Camps,https://crc.gatech.edu/youth-programs/,crc.gatech.edu,medium,manual-pass:gatech-youth-programs-tech-wreck-source,200,text/html; charset=UTF-8,2,yes,yes,,2026-02-20T05:26:43.656296+00:00
Westminster Summer Camps,https://www.westminster.net/academics/summer-programs/summer-camps,www.westminster.net,high,manual-pass:official-school-camp-page,200,text/html; charset=utf-8,1,yes,yes,,2026-02-20T05:26:44.753535+00:00
