portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name
atlanta-families,2026-02-20,Fernbank Summer Camp,Science and Museum Camps (Pass 2),day,"Fernbank Museum summer camp for ages 5-10, running June 1 to July 31, 2026.",https://www.fernbankmuseum.org/learn/community-programs/fernbank-camps/summer-camp/,Fernbank Museum
atlanta-families,2026-02-20,Camp H2O,Science and Museum Camps (Pass 2),day,Georgia Aquarium summer camp with weeklong sessions and age-based program tracks.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Camp H2O - On Ocean Time,Science and Museum Camps (Pass 2),day,Camp H2O track for ages 5-7 in June 2026 sessions.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Camp H2O - Myth-Busters,Science and Museum Camps (Pass 2),day,Camp H2O track for ages 8-10 in June 2026 sessions.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Camp H2O - Ocean Odyssey,Science and Museum Camps (Pass 2),day,Camp H2O track for ages 11-13 in June 2026 sessions.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Camp H2O - Aquatic Artists,Science and Museum Camps (Pass 2),day,Camp H2O July track for ages 5-7.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Camp H2O - Taxonomy Trailblazers,Science and Museum Camps (Pass 2),day,Camp H2O July track for ages 8-10.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Camp H2O - Pathways of the High Seas,Science and Museum Camps (Pass 2),day,Camp H2O June 29-July 2 track for ages 14-16.,https://www.georgiaaquarium.org/camp-h2o/,Georgia Aquarium
atlanta-families,2026-02-20,Enchanted Creative Garden Day Camp,Science and Museum Camps (Pass 2),day,Atlanta Botanical Garden camp with June 2026 sessions for ages 5-10.,https://atlantabg.org/classes-education/garden-camps/,Atlanta Botanical Garden
atlanta-families,2026-02-20,Adventures in the Garden Day Camp,Science and Museum Camps (Pass 2),day,"Atlanta Botanical Garden June 22-26, 2026 camp for ages 5-7.",https://atlantabg.org/classes-education/garden-camps/,Atlanta Botanical Garden
atlanta-families,2026-02-20,Seeds to Snacks Day Camp,Science and Museum Camps (Pass 2),day,Atlanta Botanical Garden July 2026 camp sessions for ages 6-12.,https://atlantabg.org/classes-education/garden-camps/,Atlanta Botanical Garden
atlanta-families,2026-02-20,Dunwoody Nature Center Summer Camp 2026,Nature Camps (Pass 2),day,Outdoor weeklong day camp for ages 4-13 at Dunwoody Nature Center.,https://dunwoodynature.org/education/summer-camp/,Dunwoody Nature Center
atlanta-families,2026-02-20,Island Ford 2026 Camp,Nature Camps (Pass 2),day,Dunwoody Nature Center partner camp at Island Ford for ages 9-13.,https://dunwoodynature.org/education/island-ford-2026/,Dunwoody Nature Center
atlanta-families,2026-02-20,Callanwolde Creative Camp,Arts Camps (Pass 2),day,Weeklong visual arts camp at Callanwolde for rising 1st-7th graders.,https://callanwolde.org/camps/,Callanwolde Fine Arts Center
atlanta-families,2026-02-20,Callanwolde Teen Summer Studios,Arts Camps (Pass 2),day,Callanwolde summer studio intensives for rising 8th-12th graders.,https://callanwolde.org/camps/,Callanwolde Fine Arts Center
atlanta-families,2026-02-20,Little Shop Dungeons and Dragons Camp,Reading and Specialty Camps (Pass 2),day,Little Shop of Stories camp sessions for rising 4th-7th graders.,https://littleshopofstories.com/summer-camp-2026,Little Shop of Stories
atlanta-families,2026-02-20,Little Shop Reading Explorers Camp,Reading and Specialty Camps (Pass 2),day,Little Shop of Stories camp for rising 1st-2nd graders.,https://littleshopofstories.com/summer-camp-2026,Little Shop of Stories
atlanta-families,2026-02-20,Little Shop Camp Half-Blood,Reading and Specialty Camps (Pass 2),day,Little Shop of Stories camp for rising 3rd-5th graders.,https://littleshopofstories.com/summer-camp-2026,Little Shop of Stories
atlanta-families,2026-02-20,Little Shop Dog Man and Cat Kid Comics Camp,Reading and Specialty Camps (Pass 2),day,Little Shop of Stories comics camp for rising 2nd-4th graders.,https://littleshopofstories.com/summer-camp-2026,Little Shop of Stories
atlanta-families,2026-02-20,Little Shop Magic Camp of Witchcraft and Wizardry,Reading and Specialty Camps (Pass 2),day,Little Shop of Stories camp for rising 3rd-5th graders.,https://littleshopofstories.com/summer-camp-2026,Little Shop of Stories
atlanta-families,2026-02-20,Little Shop Dragonology Camp,Reading and Specialty Camps (Pass 2),day,Little Shop of Stories dragon-themed camp with July sessions.,https://littleshopofstories.com/summer-camp-2026,Little Shop of Stories
atlanta-families,2026-02-20,The Studios Brookhaven KPop Minis Camp,Arts Camps (Pass 2),day,The Studios Brookhaven summer camp track with multiple 2026 sessions.,https://thestudiosbrookhaven.com/camps/,The Studios Brookhaven
atlanta-families,2026-02-20,The Studios Brookhaven Wicked For Good Camp,Arts Camps (Pass 2),day,"The Studios Brookhaven themed summer camp, July 13-17, 2026.",https://thestudiosbrookhaven.com/camps/,The Studios Brookhaven
atlanta-families,2026-02-20,The Studios Brookhaven Big Try-It Camp,Arts Camps (Pass 2),day,The Studios Brookhaven sampler camp with May/June/July 2026 sessions.,https://thestudiosbrookhaven.com/camps/,The Studios Brookhaven
atlanta-families,2026-02-20,The Studios Brookhaven Ninja/Tumbling Camp,Sports Camps (Pass 2),day,The Studios Brookhaven movement camp session in June 2026.,https://thestudiosbrookhaven.com/camps/,The Studios Brookhaven
atlanta-families,2026-02-20,The Studios Brookhaven Ninja Spy Camp,Sports Camps (Pass 2),day,The Studios Brookhaven specialty camp session in June 2026.,https://thestudiosbrookhaven.com/camps/,The Studios Brookhaven
