portal_slug,research_date,camp_name,section,source_type,source_name,listing_url,checked_at,source_domain,reachable,http_status,final_url,page_title,registration_status,registration_evidence,location_verification,location_city,location_exact,location_source,location_evidence,location_city_from_blurb,location_region,location_final,location_confidence,fetch_error
atlanta-families,2026-02-20,Anyone Can Camps,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/65942/anyonecancamp/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/65942/anyonecancamp/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to establish a new co"
atlanta-families,2026-02-20,Atlanta History Center,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/16329/atlanta-history-center-summer-camps/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/16329/atlanta-history-center-summer-camps/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed"
atlanta-families,2026-02-20,Atlanta Ballet Centre For Dance Education Summer Dance Programs,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/16012/atlanta-ballet-centre-dance-education-2/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,Atlanta,Metro Atlanta,Atlanta,low,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/16012/atlanta-ballet-centre-dance-education-2/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Fa"
atlanta-families,2026-02-20,Builder Bunch,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/16395/builder-bunch-summer-camp/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/16395/builder-bunch-summer-camp/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to establ"
atlanta-families,2026-02-20,Camp Invention,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/16396/camp-invention/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/16396/camp-invention/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to establish a new c"
atlanta-families,2026-02-20,Career Camp Atlanta,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/69108/career-camp-atlanta/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/69108/career-camp-atlanta/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to establish a "
atlanta-families,2026-02-20,Center for Puppetry Arts,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/56986/center-for-puppetry-arts-3/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/56986/center-for-puppetry-arts-3/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to estab"
atlanta-families,2026-02-20,Club SciKidz Summer Camps,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/16398/club-scikidz-2/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,,Metro Atlanta,Metro Atlanta,region,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/16398/club-scikidz-2/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to establish a new c"
atlanta-families,2026-02-20,Community Music Centers of Atlanta,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/16017/community-music-centers-atlanta/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,Atlanta,Metro Atlanta,Atlanta,low,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/16017/community-music-centers-atlanta/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443): Failed to "
atlanta-families,2026-02-20,Dad’s Garage Summer Camp,Featured Day Camps,day,Atlanta Parent,https://www.atlantaparent.com/directory/19151/dads-garage-theatre-kids-teens-summer-camp/,2026-02-20T04:13:25.386265+00:00,www.atlantaparent.com,false,,,,source_blocked,Source host refused connection from QA environment (port 443).,none,,,none,,Atlanta,Metro Atlanta,Atlanta,low,"HTTPSConnectionPool(host='www.atlantaparent.com', port=443): Max retries exceeded with url: /directory/19151/dads-garage-theatre-kids-teens-summer-camp/ (Caused by NewConnectionError(""HTTPSConnection(host='www.atlantaparent.com', port=443):"
